iter	Logloss
0	0.6244905874
1	0.5725977603
2	0.5324079222
3	0.5047816381
4	0.4797818454
5	0.4617180028
6	0.4478287901
7	0.4370565438
8	0.4281726859
9	0.4216952441
10	0.4161394408
11	0.4103618866
12	0.4069453283
13	0.4034246204
14	0.4004103724
15	0.3983526075
16	0.3957843085
17	0.3938592188
18	0.3922411881
19	0.391163481
20	0.3903612406
21	0.3891329153
22	0.388225904
23	0.3875273888
24	0.3867474883
25	0.3863509857
26	0.3855744601
27	0.3850828501
28	0.3846111287
29	0.3842370789
30	0.3840006351
31	0.383625688
32	0.3831417265
33	0.3827529801
34	0.3825267633
35	0.3821738397
36	0.3820144806
37	0.3816738971
38	0.3815156401
39	0.3810995133
40	0.3808921369
41	0.3807384357
42	0.3806041079
43	0.3803443775
44	0.3801536681
45	0.3800806344
46	0.3798630042
47	0.3797703566
48	0.3796157038
49	0.3795070165
50	0.3794161993
51	0.3791850326
52	0.3789907009
53	0.3789233098
54	0.3786989439
55	0.3786289261
56	0.3784315875
57	0.378332253
58	0.3782685814
59	0.3781646825
60	0.3779798733
61	0.377929754
62	0.3778698767
63	0.3778250761
64	0.377667239
65	0.3776126539
66	0.3774966933
67	0.377429491
68	0.3773174537
69	0.3772717908
70	0.3771616508
71	0.3771147061
72	0.3770007618
73	0.376887348
74	0.376837317
75	0.3768057596
76	0.3766756699
77	0.3765831609
78	0.3765198611
79	0.3764672725
80	0.3762802977
81	0.3762268052
82	0.3761533287
83	0.3761266141
84	0.3760195929
85	0.3759092676
86	0.3758666218
87	0.3758021955
88	0.3757282652
89	0.3756607927
90	0.3756394019
91	0.3755681422
92	0.3755153964
93	0.3754108453
94	0.3753234089
95	0.3752994284
96	0.3752351236
97	0.3751464434
98	0.3750778815
99	0.3749779969
100	0.3749439664
101	0.3748971066
102	0.3748491753
103	0.3748004765
104	0.3746906733
105	0.3746528451
106	0.3745532869
107	0.3745202514
108	0.3744609596
109	0.3744396002
110	0.3743820223
111	0.3743229594
112	0.3742594104
113	0.374188824
114	0.3741178989
115	0.3740065581
116	0.3739494285
117	0.3739119798
118	0.3738839578
119	0.3738054811
120	0.3737787847
121	0.3736881333
122	0.373626377
123	0.373442326
124	0.3733909169
125	0.3733571437
126	0.3733139257
127	0.3731305211
128	0.3730746921
129	0.3730325436
130	0.372950241
131	0.3728565783
132	0.3726806184
133	0.3726144088
134	0.3725315788
135	0.3723721681
136	0.3723426531
137	0.3722856952
138	0.3722380243
139	0.3722000626
140	0.3721465882
141	0.3721085098
142	0.3720826636
143	0.3720009555
144	0.3719581085
145	0.3717610777
146	0.3717052247
147	0.3716774517
148	0.3716432072
149	0.3715596305
150	0.3715185319
151	0.3714238827
152	0.3713446594
153	0.3712787109
154	0.3711087014
155	0.3710340615
156	0.3709691157
157	0.3708819051
158	0.3708016313
159	0.370726257
160	0.3706715534
161	0.3706303412
162	0.370535067
163	0.370506472
164	0.3704675864
165	0.370426093
166	0.3703850273
167	0.3703534994
168	0.3702801628
169	0.3702184749
170	0.3701883537
171	0.3701003331
172	0.3700551836
173	0.3699962861
174	0.3698335992
175	0.3697089153
176	0.369670908
177	0.3695380347
178	0.3694424236
179	0.3693792068
180	0.3692548498
181	0.3691967572
182	0.3691768573
183	0.369131497
184	0.3690341817
185	0.3689896614
186	0.368930823
187	0.368819877
188	0.3687590964
189	0.3686904259
190	0.3685848875
191	0.3685682299
192	0.3684872749
193	0.3684620732
194	0.3684063554
195	0.3683771919
196	0.3683476534
197	0.3683073663
198	0.3682602293
199	0.3681733407
200	0.3680979529
201	0.3680087809
202	0.3679523395
203	0.3678791582
204	0.3677865207
205	0.3677483027
206	0.3677067228
207	0.3676497364
208	0.3675933851
209	0.3675145343
210	0.3674926389
211	0.3674579205
212	0.3673801115
213	0.3673455627
214	0.3672674717
215	0.3672214467
216	0.3671742325
217	0.3670584381
218	0.3668782738
219	0.3667893982
220	0.3667443952
221	0.3666972684
222	0.3666445875
223	0.366570392
224	0.3665400458
225	0.3664151554
226	0.3663474313
227	0.3662827553
228	0.3661716818
229	0.3660639679
230	0.3660218812
231	0.365969207
232	0.3659119586
233	0.3658713294
234	0.3658399859
235	0.365783173
236	0.3657224866
237	0.3656690001
238	0.3656425057
239	0.3656267899
240	0.3655992616
241	0.3655436125
242	0.3654773779
243	0.3654570744
244	0.365413832
245	0.3653827073
246	0.3653535413
247	0.3652906395
248	0.3652570985
249	0.3652025896
250	0.3651707069
251	0.3651366023
252	0.3650914357
253	0.3650462245
254	0.3650089969
255	0.364965708
256	0.3649344005
257	0.3649046967
258	0.3648812228
259	0.3648313282
260	0.3647694514
261	0.3647446436
262	0.3646935845
263	0.3646595939
264	0.3646357442
265	0.3646234941
266	0.3645872108
267	0.364483313
268	0.3644598272
269	0.364435989
270	0.3643770166
271	0.3642649631
272	0.3642214544
273	0.3641917086
274	0.3641593072
275	0.3641344625
276	0.364100582
277	0.3640675046
278	0.3640391477
279	0.3639922813
280	0.3639334986
281	0.3638967768
282	0.3638586886
283	0.3638340137
284	0.3637555201
285	0.3637227125
286	0.3636912901
287	0.3636360652
288	0.3635870562
289	0.363540603
290	0.363513378
291	0.3634748488
292	0.3634469361
293	0.3634248828
294	0.3634000265
295	0.3633737473
296	0.3633518081
297	0.3633161293
298	0.3632765032
299	0.3631917619
