fold,roc_auc,recall_050,recall_020,accuracy_050,accuracy_020,precision_050,precision_020,deaths_total,deaths_caught_020,deaths_caught_050
1,0.893222796108991,0.83918290342517,0.9578440620629086,0.8259929089548841,0.7864066616790815,0.8176142485897192,0.713278752058909,30743,29447,25799
2,0.8899115424563808,0.8374861752651096,0.9577451044174095,0.8215987639261608,0.7829877205822559,0.8116901541662725,0.7096921927350737,30742,29443,25746
3,0.8918185163316238,0.8390475570880229,0.9591113135124585,0.8238106855330568,0.7856875660730259,0.8142302471668929,0.7121120637604154,30742,29485,25794
4,0.892869396267663,0.836027713625866,0.9563152587580913,0.8242335528990811,0.7875742050906726,0.8167662387186984,0.7150153217568948,30743,29400,25702
5,0.8891510842965654,0.8336857170738055,0.957193507465114,0.8205578596405627,0.7824184760510694,0.8123613312202853,0.709272337246017,30743,29427,25630
