Fold,ROC-AUC,Recall_0.50,Recall_0.20,Accuracy,Precision,F1-Score
1,0.893272703949964,0.8398659857528543,,0.8258140064404905,0.8169076470402126,0.8282277465918204
2,0.889922022285302,0.837421117689155,,0.8217614052207856,0.8119854912474374,0.8245071820904126
3,0.8918209943728509,0.8389499707240908,,0.823713100756282,0.8141355472079296,0.826356514634498
4,0.8928498036590374,0.8353771590280714,,0.8242172887696186,0.8171434025899647,0.8261596860322975
5,0.889139781275469,0.8351494649188433,,0.820915670488737,0.8120374470238472,0.8234313112361893
