Metric,Mean,Std,95%_CI_Lower,95%_CI_Upper,Mean±Std,95%_CI
ROC-AUC,0.8913946670922448,0.0017979052023811342,0.8878707728955778,0.8949185612889118,0.8914 ± 0.0018,"[0.8879, 0.8949]"
Recall @ 0.50,0.8370860132955947,0.0022960152685594253,0.8325858233692183,0.8415862032219712,0.8371 ± 0.0023,"[0.8326, 0.8416]"
Recall @ 0.20,0.9576418492431964,0.0010212406130830683,0.9556402176415536,0.9596434808448392,0.9576 ± 0.0010,"[0.9556, 0.9596]"
Accuracy @ 0.50,0.8232387541907492,0.00216672922006787,0.8189919649194162,0.8274855434620823,0.8232 ± 0.0022,"[0.8190, 0.8275]"
Accuracy @ 0.20,0.785014925895221,0.0022243199227660166,0.7806552588465997,0.7893745929438424,0.7850 ± 0.0022,"[0.7807, 0.7894]"
Precision @ 0.50,0.8145324439723737,0.0026158661807128957,0.8094053462581764,0.819659541686571,0.8145 ± 0.0026,"[0.8094, 0.8197]"
Precision @ 0.20,0.7118741335114619,0.002420063894765674,0.7071308082777211,0.7166174587452027,0.7119 ± 0.0024,"[0.7071, 0.7166]"
