Model,AUC,Optimal_Threshold,TPR_at_020,FPR_at_020
Logistic Regression (Calibrated),0.8918887380598399,0.49589641042787136,0.9595126522961575,0.3964193707876864
Logistic Regression,0.8918427398201183,0.4543837428956282,0.9585754451733833,0.39077259361419764
LightGBM,0.8870213897302011,0.45053782031371525,0.943767572633552,0.36678029613052643
XGBoost,0.8866355298344349,0.4472586512565613,0.9435801312089972,0.36542715137005904
Random Forest,0.8556326016383432,0.4334444444444444,0.8871602624179944,0.3344609539670561
